Canton,Population
Vaud,749373
Wallis,327011
Genève,469433
Bern,1001281
Freiburg,297622
Solothurn,261437
Neuchâtel,176402
Jura,71738
Basel-Stadt,189335
Basel-Landschaft,278656
Aargau,636362
Zürich,1425538
Glarus,39593
Schaffhausen,78783
Appenzell Ausserrhoden,53691
Appenzell Innerrhoden,15778
St. Gallen,491699
Graubünden,194959
Thurgau,260278
Luzern,390349
Uri,35865
Schwyz,151396
Obwalden,36507
Nidwalden,41888
Zug,118118
Ticino,346539
