,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
CRI,0,72651521,5415064,24940,253,21203,10294018,151111,317464,890,200188,117955,999211,2200,154380,14923441,2234600,127738,587189,9558707,4574514,373324,1110637,0,388588,331205,1787186,13735156,45300170
GRL,0,0,259923971,0,0,0,0,0,0,0,0,0,0,0,0,36642,12,0,24,0,546,0,0,0,0,0,0,0,269
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,78242,6452,260906992,6212610,18632060,3502230,112577795,63704673,44914658,1376487,3415181,47623371,33142344,1967120,21887291,125797939,42581226,4376312,78809416,137666141,79070134,11069066,36333459,4385648,8711207,14783610,63336031,113652502,477516711
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,20060,0,137268,204010,0,2756,7264828,2313402,109580,763,431873,101724,584230,154346,121605,2047296,6978387,992533,1922122,6628083,4712782,179962,3211303,0,853977,664,24532660,23646842,94714471
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,65797,650,124140,0,2369011,0,77478,1473,11080,2144,585428,465,512784,62760,82692,1348362,4036274,654675,3411,1340307,354751,3125049,33480733,5264381,21301512
COM,0,0,696900,0,0,0,111142,31823,0,0,0,0,0,0,0,32412,106242,0,64672,758691,136058,0,0,0,3547,0,73767,0,0
POL,0,9591621,71628555,16983830,37145655,515335,14218729,8869727,17133802,0,67291,16618844,12204382,5586370,1377553,2156286,3540648,4034212,1264464,28025215,15568934,2260729,12475025,7066373,17823214,522333,24625562,101456780,411632800
KGZ,121480,2901247,62100,223056,26112,0,4206501,74322874,23169314,0,213856,126063,84174,10327,37671,263795,91898,135970,23746,13300852,1955200,32180,0,0,452780,26682880,3909832,1576978,2909856
PLW,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7156,0,0,601916,0,0,40717,0,2088956,0,0
SUR,0,0,711729,0,0,18,2089216,154031,81018,0,0,51405,0,0,0,529976,47327,0,162939,1956725,677953,1103277,999,53467,38354,0,31219,2569588,411782
SMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14112,0,7973,4726,0,48119,1484926,14384,0,0,0,0,0,205,2700
SYR,74223,0,0,57841,0,0,1864805,4911891,2619467,12788850,0,231611,432085,35489,383858,0,489052,741041,500,2121735,2304254,418222,486547,317600,662666,0,152125,7779799,24508369
LVA,0,263929,3261412,57978,0,0,788554,2191997,713749,0,0,4830746,529449,50078,96682,383481,964590,66454,135189,1796376,2636031,3695984,1750590,449307,1767937,0,1423131,1519227,73715986
CPV,0,0,0,0,0,0,774893,0,0,0,0,588,0,0,0,12773522,0,0,14892,307107,0,0,0,0,253,0,928,21560,19201
ZMB,0,0,3686398,279011,3492758,120,83681,16249,2385,0,0,32049,35939,0,0,6798389,6550,0,0,18571,198240,6031,0,66879663,195268,76794600,298782,1651199,5577967
BRN,0,0,1755208,716585,0,5748,5803285,729024,1596693,0,0,56735,3119,796,114709,2285124,228123,0,381786,2026857,748282,130784,968498,0,580980,10372,66659857,2875984,2250953
IRN,0,0,9300268,97631,100529,303638,1519993,398179953,15312129,20,64350,43678896,5916241,39111,1915906,2733440,2577583,214549,14669,14595993,4831231,1279060,4967615,141000,29251525,661130,48801709,77976529,400280357
ITA,222851,142269,77725379,5537588,38502240,1607458,97779310,24934116,12649747,369856,514233,19782412,32774237,4488696,9904662,27094060,1302902,8732,5868206,96403371,23385249,11737192,21674831,143286,33491440,152162,57655147,130111037,1355747577
LKA,0,0,37924782,73223,736338,14095,40140649,20083954,6384742,16585,1175696,534023,475241,67190,30463,46773415,2606964,1559447,61110,5505024,7096347,2315,4040851,200,2242369,36961,128321623,29269489,86411737
MHL,0,0,2088865,0,0,0,0,0,0,531332,0,0,0,0,0,572103,0,0,219865,177351,40032,260571,0,44586,31775,1981,538866998,204199,95760
VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28903,0,0,0,0,0,269615,0,0
ARE,0,182771,12976893,1540894,8206297,5636406,93204397,55823093,72261494,666260,199258,28543967,2377003,262863,2737001,32672282,10325553,3172494,5573868,44276343,29208101,35793537,1635448,52369907,17860832,62320886,431910205,178693310,310116202
KWT,62007,307140,606720,893061,16781,315366,6960931,1513430,4294562,3000,17,6479409,96914,145652,246100,1273361,1955600,750397,379775,10076372,519788,11699535,232968,0,1024342,928496,1999996,6334384,15009406
KEN,0,0,15156163,0,125783,7486,6827191,388840,1416381,59375,107554,492673,348545,0,568539,19567861,2803834,75396,119125,4272283,5429937,1674676,698523,0,3727903,875431,43803116,42060054,70236867
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZL,214536645,63000,21941580,1931575,103289,1137968,15162886,7593821,1942588,519212,3443791,11653094,4446376,1155591,5922446,34803941,14186826,8055535,16378016,22280804,40280481,3086392,4782622,1875,12400853,808510,23677258,55689090,95731721
TCD,0,0,0,0,0,0,0,0,1819058,405666,0,0,1442337,0,0,0,0,0,21516,46677,844313,3400,0,0,308860,32711,743963,349627,1969696
TTO,0,0,4982199,0,0,0,4913096,58554,36721,0,24420,787431,0,9644,106774,1034422,461811,226,514211,2170812,1259717,102392,72751,0,291056,4766792,2674572,2939087,3945153
ALB,0,0,819529,90,0,3316,1795898,973178,1544279,36300,0,748989,62047,0,343603,1388900,390425,136667,38022,918720,882279,787805,0,0,50461,56427859,4450,1602333,5318714
SVK,20000,0,551246,82522,917872,0,164426,1088409,4302,0,51884,19977,849694,36445,405,0,13706,1857,245288,1140066,1712682,637578,203999,38850,844536,46440,37156,229861,7803314
ARM,0,0,0,2400,0,8930,3300,20268,98869,0,0,868867,0,5700,0,0,18690,683,7,961839,3476,818348,6025,103636,18108,738153297,36135,88199,863726
NLD,17897,76862,125907587,5083769,106415669,47419427,105693146,113541900,135900017,1471342,39289113,116558686,24505202,24730450,287644762,89596379,24740535,13796074,36575082,127245759,127069204,15461820,174090818,6999110,105169041,5891187,482501275,228926630,2227666183
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033570,0,0
MLI,42788,0,11832959,0,0,0,3227203,789763,13838729,0,0,67067734,109150,0,22265,17782688,143221,0,0,300400,1281317,0,0,0,12104,6122427,334089,8434072,2481779
ABW,0,0,101876,0,0,0,1995,50930,0,0,0,579,0,0,1896,0,0,0,19,86760,18272,0,0,734500,6761,0,302,0,159714
VAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAR,0,0,9844800,1789106,8037379,11399,442212,17593112,204823903,684325,0,4353192,833393,19559,118038,3366961,921629,300400,4807020,9137600,2098289,58079,2944186,969213,387088,169860,108178,20228002,49563409
PRT,0,60800946,66255109,4108351,5059974,161436,2718067,439076,166532,0,77085,2187904,634497,1254408,3933461,23216932,55316,22595,1581908,12602993,2694630,408773,1750245,495683,1521305,13887849,71148007,4794266,160161194
BLZ,0,0,0,0,0,0,205260,0,0,0,1596,87800,5018,0,697,0,679,0,34077,74833,98876,197242,0,16711740,11940,0,4512400,52669,134261
LUX,0,0,0,68037,0,0,0,0,0,0,0,0,89065,0,4418,319701,0,23077,132617,1392,17802,0,0,0,4595,0,95131144,141956,15949
EST,0,0,210740,1,218027,5900,886157,38087,379475,0,985,144145,377680,4930,1662,4851467,31805,5470068,30249,875434,770859,2106129,100223,32096,79198,0,473753,3310645,13006575
JAM,0,0,1411827,0,9004,0,2440820,0,186185,0,97716,17960,25641,3542,6552,1809792,261252,0,527786,1393501,328792,319573,170562,0,67458,19288635,288528,1135316,3360074
CHE,8841,5464564,1037949,3800,2747992,48613,2702806,2950,2622219,50,230,516026,1501522,74921,1622042,773791,594274,2452,2183845,4395486,1109244,4768703,6139707,385,167292,0,12003295,13621722,735611003
GNQ,0,0,1808836,0,0,0,482900,0,105690,221796,0,0,0,0,0,1479060,0,0,0,305856,17690,21335,0,0,44384,0,11041,20760,104232
AUT,5230,119043916,589470,86314,11595834,0,231021,2800,6516,1293,1628,154249,524308,10041,12564,177876,171727,1323678,750121,1600661,664837,226478,1062724,337,2231864,394121,3783806,12059115,62320698
NER,0,0,1592469,0,0,0,0,0,12548010,34470000,0,220599158,276572,0,0,1442387,1596498,246343,348709,1241798,2215993,0,0,0,4129,32366,32507,15636662,1236653
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZ,0,4870669,1190540,173746,1980932,32023,37818634,67792045,8935878,73447646,46288,2526003,1054587,82642,66950,9036847,2003198,676633,5626520,61048054,19909689,13928792,1918474,659830,5211467,26391,15612500,123354814,43750875
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TLS,0,0,4158231,0,0,0,1457067,893595,9069,13879814,0,27917,0,0,0,1841062,0,0,517,630,13938,453644,0,0,11749,0,410841,0,814
HND,0,0,285473,0,129206,0,3578446,0,770723,0,8000,2915,164745,0,128079,3078683,1998953,307540,436968,1945345,1355474,117560,959194,5,59783,8152,257267,6689521,9246275
NGA,0,0,30638097,326015,629965,552665,817714,145095,21319727,2217220,3444590,93192,2143540,3103758,361477,12814855,32483986,2895723,5947244,49782822,95676938,925644,1905037,285012,6914360,309399,70307450,80360309,178127749
GMB,0,0,0,0,0,450,1282923,0,21920513,0,0,2695618,0,0,360,858762,701300,3698,712732,4656668,2680315,27791,15600,0,449,1232924,73503,443885,430830
BWA,0,0,0,0,0,0,12200,0,0,45,0,0,0,0,0,183564,0,0,5325,0,91980,22673,0,0,2024,20520,759,373639,216410
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,34313255,0,0,0,468821,0,1822585,0,0,2180975,0,0,1848,2903922,229096,0,63418,461297,2383128,0,610,0,12137,32564004,32645,1910194,109650
UKR,2150,62521,17560943,69680,3991454,23393,9365940,22553961,10847631,10299379,8736,2101259,12067365,484915,263075,63456823,4523660,730765,1930921,29609753,9254745,3123254,18029088,348383,12271299,88606,984316,33917768,135855010
CMR,0,0,3254381,0,89392,0,413935,0,16362047,50081400,5145526,3579,158656,34127,213640,3156501,563268,90815,432818,10963245,4772243,145398,224,0,309251,85380,4614431,8014244,7659393
CYM,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9041,0,4275063,1677,10986
USA,2601743,3353376,1113086483,16073731,203650517,52385965,553399199,188905406,216526287,21157724,13714363,127698825,374156827,13309548,91733932,965383029,200579359,17347434,219917645,941168050,621623705,33951736,325422543,3781307,167253580,6634424,301876689,800874880,7386128825
ESH,0,0,0,0,0,0,0,0,94084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRD,0,0,187514,0,0,0,8750,0,0,0,0,0,233,0,0,2299,16428,0,0,13920,15569,0,0,63000,450,0,0,0,0
TKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HKG,525528614,547842803,983541221,169697496,107098560,17235061,1592291814,383257898,488671698,14589224,47025555,221735124,70805352,8891391,98694103,861696374,36629438,52390123,525787990,400653504,632673881,911455831,16011076,81727462,488694945,6579249,6587298162,322803224,187811257
DOM,0,0,13068550,0,5627,74478,13002740,980913,1011688,0,20006,33300,674503,1239,26900,41050604,860378,406360,928361,7338383,4414634,185812,751549,6670640,278448,2719587,4242166,8544084,34651650
MYT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEM,0,0,0,108382,0,0,3019840,35621,908264,1510265,21408,296931,52696,0,125849,90496,6782417,1576952,671534,65505144,13678382,0,419380,0,304196,1400,108145,7666255,10695498
GBR,7345,389502048,336589255,64012640,33411634,1110858,70247735,43041294,62866806,743540,1473277,36463099,18100968,5915321,64174309,46085496,25567275,5888808,61909823,93348278,92746792,12097014,104256171,648193,21219281,3728901,358251296,99627198,971310658
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,17183446,1050066,489620,7319,11078936,3685660,4649673,0,39930,9587908,949700,395588,1961380,693085,1053902,71952,955317,4062709,2153992,6598948,5042686,1642192,1778859,105157137,59349910,11063030,78733363
SSD,0,0,595573,0,0,0,435180,0,2847,2880048,152,1424,0,0,0,0,0,0,16191,103762,779315,0,0,0,8969,0,249564,16133,12226
BHR,0,6450577,599175,81368,17416,330946,4034453,3113599,2575228,10020,59695,1853144,1457,56383,0,2096984,506567,39238,299883,3905901,97317,302364,83041,6083364,693104,8235,35446913,26585439,3841626
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,4614136,643748,1301204,3179,939460,482065,4919362,8280071,0,6248403,1654724,257496,19304406,867302,368880,189594,5427,4529842,3296862,1991836,721880,1971604,272790,24750,202213,2895860,56747193
SEN,0,0,726321,13890,91007,2041,19966107,42520,67507469,8413500,118240,247794952,0,163313,79300,98867,1189899,0,944518,10483417,3374110,10031,19787,135,2680805,37038584,491357,11692932,18262959
SYC,0,0,956233,0,0,129600,530420,308345,379251,0,0,0,0,0,10499,0,0,0,3300,208904,149639,1433,0,0,14383,0,0,76386,78349
PRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSE,0,0,0,0,0,0,0,0,627125,0,0,0,15300,0,0,93560,881081,168263,400365,2313560,591257,0,0,0,0,0,0,25734,242049
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,805428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37942,0,0,0,0,0,4820519,300,0
SOM,0,0,810080,33541,0,0,2674098,0,1665029,0,0,787146,4249342,0,24008,57591,728109,0,11250,1562501,2027423,15270,0,0,27868,498914,17620,2319937,502828
BRB,0,0,882797,0,0,323,354841,65752,63470,0,0,80000,0,0,0,139685,24623,20370,60109,106374,75565,590190,0,616,9572,0,1982066,54950,192592
SWE,3511,0,64561789,599753,155574,301430,4227644,6174465,6913087,42743,298,5145467,657193,265509,125842,4173158,1707399,52560,5474288,13968722,6111686,1262143,17012117,15,5889228,3892595,4031197,11161572,61814776
TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7710
BOL,0,50381640,0,4200,0,0,19875,564409,263493,4457828,61270,27337,56625,0,71553,2432538,1144421,495884,60984,1724595,3112027,307283,116716,0,26394,168540839,61440,3245066,7077642
CHN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,0,0,12865493,0,248400,336,6482187,46250,79855426,5953255,112374,138630,159438,0,14197,75977222,32573384,2503327,4226609,40640670,48381063,1730204,648701,0,6287168,20711,18777641,35624592,52497845
IRQ,3000,0,546416,477255,2419,114590,4643272,19746072,6465868,24675,0,88930206,351260,1760,195130,6322131,6169243,706531,2821856,23911729,9765248,1555687,88115,24750,1387155,559950,1054041,9057014,32911451
AGO,0,0,313215,0,0,0,5288610,0,273157,991847,20480,7102,9985,0,10910,457068,543677,0,231586,13285625,4125101,77653,14060,0,826934,6180954,551740,6370130,4140354
CUB,0,0,495998,0,0,0,33391624,59622,20733,0,0,0,75378,0,19465,6796136,178106,0,30840,1143447,88507,240780,478400,5000670,402507,127311935,113265,3157544,6846813
MTQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,55251,31755013,233576662,4310043,9361275,6118510,634875550,309782265,417432336,682027,58670510,82534107,35052116,3333776,131249550,528964032,64823186,9539772,69417409,400481606,326614552,29538929,63328393,14965370,147154765,37470802,1580266755,488177964,614874507
